ComentarioCrudo,ComentarioLimpio
Qepd fuerza para la familia,Qepd fuerza para la familia
Que Pena Dios lo Tenga en su Gloria Amén,Que Pena Dios lo Tenga en su Gloria Amén
SIN PALABRAS,SIN PALABRAS
QEPD ídolo,QEPD ídolo
Por qué gente buena? Más son los buenos que se van que los malos…,Por qué gente buena? Más son los buenos que se van que los malos
Pobre familia lo siento mucho,Pobre familia lo siento mucho
Q EPD.cuanta triteza y dolor.,Q EPD.cuanta triteza y dolor.
Sentido pésame a la familia !!!,Sentido pésame a la familia !!!
QEPD,QEPD
Mi más sentido pésame para la familia,Mi más sentido pésame para la familia
Nadie esta x encima de nadie ay muchos se creen x q tienen dinero asi como viene se va mucho cuidado raza,Nadie esta x encima de nadie ay muchos se creen x q tienen dinero asi como viene se va mucho cuidado raza
Como murió?,Como murió?
"Que cosas nos muestra la vida, paz en su tumba.","Que cosas nos muestra la vida, paz en su tumba."
Que triste,Que triste
EPD,EPD
Que paso,Que paso
D.E. P. Ánimo a la familia,D.E. P. Ánimo a la familia
En paz descanse Dios de fortaleza a su familia,En paz descanse Dios de fortaleza a su familia
"Tan chiquis los niños, fortaleza para su familia","Tan chiquis los niños, fortaleza para su familia"
Que en paz descanse nada está escrito cuando venimos al mundo ni cuando nos vamos que tristeza para su flia por Dios,Que en paz descanse nada está escrito cuando venimos al mundo ni cuando nos vamos que tristeza para su flia por Dios
Que triste historia,Que triste historia
QUE LE PASO A DIOGO????,QUE LE PASO A DIOGO????
Que Dios lo bendiga siempre y que lo tenga en su santa gloria,Que Dios lo bendiga siempre y que lo tenga en su santa gloria
Descanse en Paz se Bendecido con el Sacramento del Matrimonio.,Descanse en Paz se Bendecido con el Sacramento del Matrimonio.
Q tristeza P E S T,Q tristeza P E S T
Todavía estoy en shock.,Todavía estoy en shock.
Qepd,Qepd
Descanse en paz.,Descanse en paz.
"Conclusión, no sé casen, huyannn","Conclusión, no sé casen, huyannn"
Y De iñ va ayudar para salir adelante,Y De iñ va ayudar para salir adelante
Dios mío q dolor!!!,Dios mío q dolor!!!
"Que Dios les de mucha fortaleza en estos momentos de dolor, nos unimos al dolor q hoy embarga a tu familia, desde El Salvador les mando mis condolencias","Que Dios les de mucha fortaleza en estos momentos de dolor, nos unimos al dolor q hoy embarga a tu familia, desde El Salvador les mando mis condolencias"
Así es la vida si sos amable algo te pasa,Así es la vida si sos amable algo te pasa
Epd,Epd
"Triste noticia, vuela muy alto Diogo...","Triste noticia, vuela muy alto Diogo..."
"Rosa boa tarde, voce esta melhor? Nao posso opinar porque nao sei nada de futebol, desculpe.bjs.","Rosa boa tarde, voce esta melhor? Nao posso opinar porque nao sei nada de futebol, desculpe.bjs."
D.e.p muy joven y deja muchos corazones destrozados.,D.e.p muy joven y deja muchos corazones destrozados.
Wow... lamentable!!,Wow... lamentable!!
Que paso CTM!!! Cómo :(((((,Que paso CTM!!! Cómo
Que tragedia y pobres bebés,Que tragedia y pobres bebés
"No lo mato la vida lo mató,la velocidad","No lo mato la vida lo mató,la velocidad"
Q le pasó,Q le pasó
Nada !Sin palabras !Solo una tristeza enorme por los dos !Las edades de mis hijos !Angustia pensar la situación!,Nada !Sin palabras !Solo una tristeza enorme por los dos !Las edades de mis hijos !Angustia pensar la situación!
Dios te tenga en su gloria Diogo,Dios te tenga en su gloria Diogo
"Como dice la palabra de Dios viva el momento ahora como si fuera el último aliento de su vida, pero vivalo en gracia de Dios. Mis condolencias y fortaleza para la familia, y que brille para él y su hermano la luz perpetua.","Como dice la palabra de Dios viva el momento ahora como si fuera el último aliento de su vida, pero vivalo en gracia de Dios. Mis condolencias y fortaleza para la familia, y que brille para él y su hermano la luz perpetua."
Una linda familia,Una linda familia
Moraleja... Nunca se casen ocurren cosas malas,Moraleja... Nunca se casen ocurren cosas malas
Ig de la viuda,Ig de la viuda
Que fatalidad,Que fatalidad
"Descanse en paz
Tanto por vivir, tan linda Familia, fortaleza para ellos en estos momentos","Descanse en paz
Tanto por vivir, tan linda Familia, fortaleza para ellos en estos momentos"
Que que dolor tan grande a la familia,Que que dolor tan grande a la familia
Trite sefue un crack fuerza para su familia,Trite sefue un crack fuerza para su familia
Que triste noticia,Que triste noticia
Oy estamos! Él futuro lo desconocemos,Oy estamos! Él futuro lo desconocemos
Descanse en paz,Descanse en paz
Q increíble x dios,Q increíble x dios
Q injusta es la vida un hombre lleno de vida con un futuro brillante en su mejor momento y demomento muere aún no lo creo pero tus fan de verdad siempre te recordaremos y te llevaremos en nuestros corazones. EPD CAMPEÓN,Q injusta es la vida un hombre lleno de vida con un futuro brillante en su mejor momento y demomento muere aún no lo creo pero tus fan de verdad siempre te recordaremos y te llevaremos en nuestros corazones. EPD CAMPEÓN
"Fue un ser humano y ya no estas ,consuela a tu familia k dejastes desde arriba cuidalos AMEN","Fue un ser humano y ya no estas ,consuela a tu familia k dejastes desde arriba cuidalos AMEN"
"Cuánta tristeza,tan jóvenes.","Cuánta tristeza,tan jóvenes."
"Santo Dios ,aveces creemos tenerlo todo y la realidad esq ni la vida misma nos pertenece
fortaleza a sus familia","Santo Dios ,aveces creemos tenerlo todo y la realidad esq ni la vida misma nos pertenece
fortaleza a sus familia"
"Que triste!, Dios dé fortaleza a esa familia destrozada por el dolor y cuide a esos pequeñitos!","Que triste!, Dios dé fortaleza a esa familia destrozada por el dolor y cuide a esos pequeñitos!"
Somos efímeros,Somos efímeros
EPD,EPD
"Descansa en paz, que el señor consuele la familia","Descansa en paz, que el señor consuele la familia"
Triste noticia,Triste noticia
Que el Señor los tenga en su Santa Gloria y que Brille para ellos la Luz Perpetua QEPD,Que el Señor los tenga en su Santa Gloria y que Brille para ellos la Luz Perpetua QEPD
EPD Y EN GLORIA ESTE,EPD Y EN GLORIA ESTE
Mi más sentido pésame para toda su familia no es nada fácil perder un ser querido de esa forma,Mi más sentido pésame para toda su familia no es nada fácil perder un ser querido de esa forma
"Que tragedia, que destino, que tristeza x dios...","Que tragedia, que destino, que tristeza x dios..."
"Era su destino,Dios sabe cuando venimos al mundo y cuando nos vamos...!!!","Era su destino,Dios sabe cuando venimos al mundo y cuando nos vamos...!!!"
Uhĥh que triste m partio el alma,Uhh que triste m partio el alma
QEPD,QEPD
"El y su hermano
triste noticia","El y su hermano
triste noticia"
Amen,Amen
Amen,Amen
Amen,Amen
Amen,Amen
No lo puedo creer,No lo puedo creer
Dios lo tenga en su gloria,Dios lo tenga en su gloria
Que tristeza!!! QEPD,Que tristeza!!! QEPD
Paz en su tumba que pesar,Paz en su tumba que pesar
Fortaleza a toda su familia,Fortaleza a toda su familia
Dios lo tenga en su santa gloria y bendiga y de consuelo a todas las personas y familiares descanse en paz,Dios lo tenga en su santa gloria y bendiga y de consuelo a todas las personas y familiares descanse en paz
Que tristeza más grande ! Pensé mucho en esa muchacha lleva de vida enamorada de su esposo y,Que tristeza más grande ! Pensé mucho en esa muchacha lleva de vida enamorada de su esposo y
Y ah la gente mala por no decir otra palabra no les pasa nada y más bien hacen más daño que descansen paz y muchas resignación ah las familias,Y ah la gente mala por no decir otra palabra no les pasa nada y más bien hacen más daño que descansen paz y muchas resignación ah las familias
Quedé,Quedé
Quedaste,Quedaste
Quedamos,Quedamos
Mis condolencias a la familia es muy lamentable que haya pasado,Mis condolencias a la familia es muy lamentable que haya pasado
"Que tristeza, Que mi Dios lo tenga en su Gloria","Que tristeza, Que mi Dios lo tenga en su Gloria"
Un día estamos al otro no sabemos,Un día estamos al otro no sabemos
Que tristeza tan Grande .,Que tristeza tan Grande .
Qepd,Qepd
Que tristeza,Que tristeza
Dios lo tenga en su regazo.,Dios lo tenga en su regazo.
Descanse en paz..,Descanse en paz..
Muy triste que Dios le de fortaleza a esa mamá con sus bebes.,Muy triste que Dios le de fortaleza a esa mamá con sus bebes.
Uy My Señor que Tristeza.,Uy My Señor que Tristeza.
Y QUE PASÓ¿ OH QUE PENA.,Y QUE PASÓ¿ OH QUE PENA.
"Cuesta muchísimo comprender estas partidas, sobre todo por los hechos previos.","Cuesta muchísimo comprender estas partidas, sobre todo por los hechos previos."
Q.E. P.D.,Q.E. P.D.
K fome k dios lo tenga en su santo reino,K fome k dios lo tenga en su santo reino
Hasta pensé que era una noticia falsa... Triste noticia...,Hasta pensé que era una noticia falsa... Triste noticia...
Pobre madre perdió 2 hijos el mismo día,Pobre madre perdió 2 hijos el mismo día
Que penita más grande,Que penita más grande
Paz à sua alma,Paz sua alma
La velocidad de los autos es algo que aún no entiendo del gusto del sexo masculino.,La velocidad de los autos es algo que aún no entiendo del gusto del sexo masculino.
"Lamentable noticia para el futbol mundial. Se nos fue un crack del fútbol. Dios bendiga a su esposa e hijos, y a todos los compañeros que el tubo cuando jugaba","Lamentable noticia para el futbol mundial. Se nos fue un crack del fútbol. Dios bendiga a su esposa e hijos, y a todos los compañeros que el tubo cuando jugaba"
Ay Dios mío,Ay Dios mío
Que tragedia,Que tragedia
Dios lo acoja en su Gloria,Dios lo acoja en su Gloria
"Dios mío, la vida es tan injusta... consuelo para su familia...","Dios mío, la vida es tan injusta... consuelo para su familia..."
"Muchas condolencias a la familia
descansa en paz","Muchas condolencias a la familia
descansa en paz"
DEP,DEP
Epd Diogo gloria eterna,Epd Diogo gloria eterna
El mundo es un lugar extraño,El mundo es un lugar extraño
Creo q tambien hay q ser responsables al volante al tenerlo todo creemos q no vamos ni siquiera a envejecer conduzcan con prudencia el hecho de andsr vehiculo caro igual fue hecho por humanos y pueden fallar en cualquuer momento imaginense hasta el hermano de el murio ahi q golpe mas duro para una madre sepan q alguien los espera el q muere muerto esta pobre es el q todavia esta aca sufriendo nuestra ausencia,Creo q tambien hay q ser responsables al volante al tenerlo todo creemos q no vamos ni siquiera a envejecer conduzcan con prudencia el hecho de andsr vehiculo caro igual fue hecho por humanos y pueden fallar en cualquuer momento imaginense hasta el hermano de el murio ahi q golpe mas duro para una madre sepan q alguien los espera el q muere muerto esta pobre es el q todavia esta aca sufriendo nuestra ausencia
Descansen en paz!!,Descansen en paz!!
Que pena,Que pena
Dios mio que pena más grande.DEP.,Dios mio que pena más grande.DEP.
Descansa en paz,Descansa en paz
"Que irónica es la vida Paz en su tumba y mucha fortaleza a toda su familia
vuela alto","Que irónica es la vida Paz en su tumba y mucha fortaleza a toda su familia
vuela alto"
D.E.P. UNA PENA.,D.E.P. UNA PENA.
"Admiro a todo deportista ,me duele que pasen estas cosas QUE EN PAZ DESCANSEN CRACKS GRACIAS POR TANTO","Admiro a todo deportista ,me duele que pasen estas cosas QUE EN PAZ DESCANSEN CRACKS GRACIAS POR TANTO"
Paz a su Alma.,Paz a su Alma.
Bibe ahora por tus hijitos linda y que Dios te de fuerza para aselo me uno a tu dolor bendisiones para ti y tus niños,Bibe ahora por tus hijitos linda y que Dios te de fuerza para aselo me uno a tu dolor bendisiones para ti y tus niños
Dios bendiga a su esposa y a sus hijos en el poderoso nombre de Jesús y Dios los tenga en su gloria amén,Dios bendiga a su esposa y a sus hijos en el poderoso nombre de Jesús y Dios los tenga en su gloria amén
Eso es la vida una vana ilusión,Eso es la vida una vana ilusión
Que Dios en su infinita misericordia acompañe y proteja esa familia tan dilacerada..,Que Dios en su infinita misericordia acompañe y proteja esa familia tan dilacerada..
Descansen en paz,Descansen en paz
QEPD.,QEPD.
Epd,Epd
que papito Dios les de mucha,que papito Dios les de mucha
fortalesa,fortalesa
Descanse en paz los dos.. hermanos..me imagino el dolor de esos..padres..dos hijos,Descanse en paz los dos.. hermanos..me imagino el dolor de esos..padres..dos hijos
Q.D.E.P.,Q.D.E.P.
Que tristeza que Dios lo reciba en su santo reino.,Que tristeza que Dios lo reciba en su santo reino.
DEP.Que dios ayudé a su familia qué pena más grande esto no debería pasar por nadie dios los tenga en la gloria bendita,DEP.Que dios ayudé a su familia qué pena más grande esto no debería pasar por nadie dios los tenga en la gloria bendita
Que dios lo tenga en la gloria,Que dios lo tenga en la gloria
De q murio,De q murio
Por eso el ser humano tiene que asercarse a Dios. Por que oy estamos y el mañana solo Dios lo conoce. La fama no vale nada en la tierra que nuestra fama sea estar escrito en el libro de la vida.. Pongamos a Dios de primera antes de los ídolo del fútbol. Colmo Messi y Cristiano Ronaldo.. Un indilegente o alcolico vale lo mismo k los ídolos del fútbol.. Ya en cristo vales más por que tu padre es Dios..... Ael sea la gloria y homra siempre cristo te ama,Por eso el ser humano tiene que asercarse a Dios. Por que oy estamos y el mañana solo Dios lo conoce. La fama no vale nada en la tierra que nuestra fama sea estar escrito en el libro de la vida.. Pongamos a Dios de primera antes de los ídolo del fútbol. Colmo Messi y Cristiano Ronaldo.. Un indilegente o alcolico vale lo mismo k los ídolos del fútbol.. Ya en cristo vales más por que tu padre es Dios..... Ael sea la gloria y homra siempre cristo te ama
"Aún no lo creo, que triste la vida sin volver a ver a tus hijos y tu esposa, Donde estés,Dios te acompañará en el cielo","Aún no lo creo, que triste la vida sin volver a ver a tus hijos y tu esposa, Donde estés,Dios te acompañará en el cielo"
Dios llena de amor y gratitud el corazón de su familia y sus bebes,Dios llena de amor y gratitud el corazón de su familia y sus bebes
Que tristeza dios mío,Que tristeza dios mío
Que tremenda desgracia peor no podia haber sido,Que tremenda desgracia peor no podia haber sido
Que tragedia prácticamente en luna de miel reciente y una familia destrozada d.e.p.,Que tragedia prácticamente en luna de miel reciente y una familia destrozada d.e.p.
Que tristeza dios los tenga en su santa gloria y mucha fortaleza para su familia,Que tristeza dios los tenga en su santa gloria y mucha fortaleza para su familia
Que paz descanse,Que paz descanse
Ho lamento.,Ho lamento.
D.E.P.mi más sentido pésame para toda la familia,D.E.P.mi más sentido pésame para toda la familia
meus sentimentos,meus sentimentos
Que dolor. Fortaleza Dios para esa. Madre,Que dolor. Fortaleza Dios para esa. Madre
"Lee, los comentarios pues gil.","Lee, los comentarios pues gil."
La señora quedó forrada. Y lo más seguro es que se busque otro,La señora quedó forrada. Y lo más seguro es que se busque otro
Q increíble q no se puede creer Dios cuide de estos niños,Q increíble q no se puede creer Dios cuide de estos niños
Q triste noticia. Así es la vida fuerza y un abrazo a la familia,Q triste noticia. Así es la vida fuerza y un abrazo a la familia
Solo Paz.,Solo Paz.
"Dios lo bendiga
Y lo tenga en su Santa gloria","Dios lo bendiga
Y lo tenga en su Santa gloria"
Esta vida ..,Esta vida ..
"D.E.P mi más sincero pésame a la familia, para estás situaciones no hay colores hay tristeza","D.E.P mi más sincero pésame a la familia, para estás situaciones no hay colores hay tristeza"
"Muy triste
Dios consuele a su madre y toda la familia.","Muy triste
Dios consuele a su madre y toda la familia."
Qed Los hermanos,Qed Los hermanos
Asi es la vida cuando la muerte viene no pregunta si tienes plata o estas feliz o si tiwnes familias o amigo asi es alla,Asi es la vida cuando la muerte viene no pregunta si tienes plata o estas feliz o si tiwnes familias o amigo asi es alla
Q triste es la vida por los niños quedaron sin padre pueden hacer muchas personas q los quieran pero nunca como su padre Dios bendiga a esta señora ahora tiene q ser más madre q mujer Dios lo reciba en su gloria el fulbot está de luto,Q triste es la vida por los niños quedaron sin padre pueden hacer muchas personas q los quieran pero nunca como su padre Dios bendiga a esta señora ahora tiene q ser más madre q mujer Dios lo reciba en su gloria el fulbot está de luto
Accidente de carro,Accidente de carro
Descansa en paz campeón,Descansa en paz campeón
DEP,DEP
Descansa en paz campeón,Descansa en paz campeón
Dios de consuelo a su familia y amigos,Dios de consuelo a su familia y amigos
Lo siento mucho,Lo siento mucho
Cuan difícil es entender porque ocurren estas cosas tan dolorosas fuerza para familias y amistades,Cuan difícil es entender porque ocurren estas cosas tan dolorosas fuerza para familias y amistades
Duele el alma...,Duele el alma...
Que le paso ??,Que le paso ??
Descansa en paz Dios le de fortaleza a tu familia para afrontar tan irreparable perdida,Descansa en paz Dios le de fortaleza a tu familia para afrontar tan irreparable perdida
Que tristeza. Dios consuele su familia.,Que tristeza. Dios consuele su familia.
"No lo puedo creer, me acabo de despertar y estoy en shock, sigo temblando con la noticia, aunque no halla visto mucho su fútbol, el era de mis jugadores favoritos por el Fifa, siempre lo puse a jugar por delante de CR7, lo recordaré siempre por eso, por los golazos que marqué con él, es increíble pensar que ya no voy a marcar más
, que liverpool y Portugal se quedarán sin su fútbol, que su familia se quedara sin él, sin dudas una pérdida muy grande para todos
vuela alto campeón","No lo puedo creer, me acabo de despertar y estoy en shock, sigo temblando con la noticia, aunque no halla visto mucho su fútbol, el era de mis jugadores favoritos por el Fifa, siempre lo puse a jugar por delante de CR7, lo recordaré siempre por eso, por los golazos que marqué con él, es increíble pensar que ya no voy a marcar más
, que liverpool y Portugal se quedarán sin su fútbol, que su familia se quedara sin él, sin dudas una pérdida muy grande para todos
vuela alto campeón"
Que bonito fue feliz..,Que bonito fue feliz..
Que le pasó,Que le pasó
Que vaina!,Que vaina!
Que pena por favor,Que pena por favor
Que cosas todo se veía tan perfecto pero aveces hay cosas que uno no entiende solo Dios sabe fortaleza atoda su familia y sus hijos que se queden con yn lindo recuerdo de su papito qué Dios los bendiga,Que cosas todo se veía tan perfecto pero aveces hay cosas que uno no entiende solo Dios sabe fortaleza atoda su familia y sus hijos que se queden con yn lindo recuerdo de su papito qué Dios los bendiga
"No hay palabras, ni cabeza para poder aceptar esta desgracia. Solo espero q su esposa e hijos se mantengan fuertes para poder llevar esta terrible situación. Que la fuerza del universo los guíe y cure este terrible dolor","No hay palabras, ni cabeza para poder aceptar esta desgracia. Solo espero q su esposa e hijos se mantengan fuertes para poder llevar esta terrible situación. Que la fuerza del universo los guíe y cure este terrible dolor"
Waoo qué triste . Dios de Consuelo y fortaleza Al corazón de la familia,Waoo qué triste . Dios de Consuelo y fortaleza Al corazón de la familia
Que paso ... no sé nada ???,Que paso ... no sé nada ???
EPD,EPD
Lamentable,Lamentable
Hace un mes levantabas la Premier League con el Liverpool.,Hace un mes levantabas la Premier League con el Liverpool.
"Hace apenas unos días celebrabas, con la camiseta de tu país, la conquista de una Nations League.","Hace apenas unos días celebrabas, con la camiseta de tu país, la conquista de una Nations League."
"Te casaste con el amor de tu vida hace solo diez días, rodeado de sonrisas, sueños y promesas de futuro.","Te casaste con el amor de tu vida hace solo diez días, rodeado de sonrisas, sueños y promesas de futuro."
"Tenías todo por delante: juventud, talento, familia, historia en los pies.","Tenías todo por delante juventud, talento, familia, historia en los pies."
"Y ho... simplemente, ya no estás. Una carretera, una noche, un instante.. Todo se detuvo.","Y ho... simplemente, ya no estás. Una carretera, una noche, un instante.. Todo se detuvo."
"Qué frágil es la vida. Qué efímero es todo. Nunca sabes cuál será el último abrazo, la última risa,el último amanecer.","Qué frágil es la vida. Qué efímero es todo. Nunca sabes cuál será el último abrazo, la última risa,el último amanecer."
"Nos pasamos la vida haciendo planes, como si el mañana estuviera garantizado, como si tuviéramos un contrato firmado con el destino.","Nos pasamos la vida haciendo planes, como si el mañana estuviera garantizado, como si tuviéramos un contrato firmado con el destino."
Pero no. Nadie tiene asegurado el día de mañana.,Pero no. Nadie tiene asegurado el día de mañana.
"Hoy estás aquí, celebrando. Mañana... puedes ser solo un recuerdo en los labios de quienes te amaron. Y eso es lo que duele. Lo repentino. Lo injusto. Lo imposible de asimilar. Que esto nos recuerde lo esencial: Ama con fuerza. Vive con propósito. Agradece cada día como si fuera el último. Porque un día no será.","Hoy estás aquí, celebrando. Mañana... puedes ser solo un recuerdo en los labios de quienes te amaron. Y eso es lo que duele. Lo repentino. Lo injusto. Lo imposible de asimilar. Que esto nos recuerde lo esencial Ama con fuerza. Vive con propósito. Agradece cada día como si fuera el último. Porque un día no será."
"Descansa en paz, campeón. Tu luz brilló fuerte, aunque por poco tiempo.","Descansa en paz, campeón. Tu luz brilló fuerte, aunque por poco tiempo."
No somos nada en esta vida de mierda hay que vivirla pero lo demas es cuento,No somos nada en esta vida de mierda hay que vivirla pero lo demas es cuento
Que señor de paz a toda familia,Que señor de paz a toda familia
Meuno al dolor de la familia mimas sentido pesame,Meuno al dolor de la familia mimas sentido pesame
D.E.P.Diogo,D.E.P.Diogo
Tremendo papá Dios conoce todo y les da paz y mucha fortaleza a todos,Tremendo papá Dios conoce todo y les da paz y mucha fortaleza a todos
Que triste todo..LA vida y momentos intendibles...Triste de más...QPD.,Que triste todo..LA vida y momentos intendibles...Triste de más...QPD.
De vez en cuando la vida se sacude y nos presenta hechos como estos para recordarnos que somos tan frágiles y que en un abrir y cerrar de ojos todo termina.,De vez en cuando la vida se sacude y nos presenta hechos como estos para recordarnos que somos tan frágiles y que en un abrir y cerrar de ojos todo termina.
Buen jugador y mejor persona QEPD,Buen jugador y mejor persona QEPD
Que la misericordia de Dios lesregale mucha fortaleza a su madre y esposa,Que la misericordia de Dios lesregale mucha fortaleza a su madre y esposa
Que Dios Consuele y fortalezca a tu hermosa familia. Tu ya descansas en paz.,Que Dios Consuele y fortalezca a tu hermosa familia. Tu ya descansas en paz.
Todas las fuerzas y Bendiciones.,Todas las fuerzas y Bendiciones.
Tristeza infinita,Tristeza infinita
Descansa en paz. Y mucha fortaleza para su esposa. Sus hijos la necesitan fuerte.,Descansa en paz. Y mucha fortaleza para su esposa. Sus hijos la necesitan fuerte.
Dios el unico que sabes los dias en la tierra. Y el permite lo que pasa. Porque es Dios.,Dios el unico que sabes los dias en la tierra. Y el permite lo que pasa. Porque es Dios.
"Que lamentable
que dios les de consuelo a tanto dolor
la vida están frágil..que no sabemos cuando es el último día .","Que lamentable
que dios les de consuelo a tanto dolor
la vida están frágil..que no sabemos cuando es el último día ."
"Cuánto dolor envuelve a la familia, la vida nos da unas sorpresas difícil de entender, fortaleza familia","Cuánto dolor envuelve a la familia, la vida nos da unas sorpresas difícil de entender, fortaleza familia"
"Podremos tener todo en la vida , una bonita familia, dinero, buen trabajo , inteligencia, habilidades , pero nada de eso sirve si no tenemos lo que dice la biblia en PROVERBIOS 2:11 """" la capacidad de pensar misma te vigilará, el disernimiento mismo te salvaguardara","Podremos tener todo en la vida , una bonita familia, dinero, buen trabajo , inteligencia, habilidades , pero nada de eso sirve si no tenemos lo que dice la biblia en PROVERBIOS 211 la capacidad de pensar misma te vigilará, el disernimiento mismo te salvaguardara"
Que Dios cuide a toda su familia. Que descansen en paz,Que Dios cuide a toda su familia. Que descansen en paz
QEPD,QEPD
Q horror pobrecitos QEPD,Q horror pobrecitos QEPD
Dios padre de consuelo y paz ha su esposa y familia como a los hijos descance en paz,Dios padre de consuelo y paz ha su esposa y familia como a los hijos descance en paz
Qué injusta es la vida. EPD,Qué injusta es la vida. EPD
Q!! Triste,Q!! Triste
Que Dios lo tenga en su santa gloria,Que Dios lo tenga en su santa gloria
No creo que los que somos fieles al fútbol...podamos decir mucho....es algo demasiado triste tener que ver la noticia de la partida de un excelente jugador....y un gran ser humano....no hay palabras que yo personalmente pueda expresar para entender lo caprichosa que es la vida....,No creo que los que somos fieles al fútbol...podamos decir mucho....es algo demasiado triste tener que ver la noticia de la partida de un excelente jugador....y un gran ser humano....no hay palabras que yo personalmente pueda expresar para entender lo caprichosa que es la vida....
"LA VIDA ES ASÍ CON DOLOR CUANDO SON JÓVENES PERO NO HAY EDAD ,DOS HIJOS SE Van JUNTOS ,UN PADRE Q DEJA UNA FAMILIA ,DIOS LE LLENE ESOS CORAZONES ,Q SEGUIRÍAN VIVIENDO","LA VIDA ES ASÍ CON DOLOR CUANDO SON JÓVENES PERO NO HAY EDAD ,DOS HIJOS SE Van JUNTOS ,UN PADRE Q DEJA UNA FAMILIA ,DIOS LE LLENE ESOS CORAZONES ,Q SEGUIRÍAN VIVIENDO"
Muy lamentable,Muy lamentable
Q lamentable perdida un gran Jugador,Q lamentable perdida un gran Jugador
Noooooooo jota noooooooooo por qué hermano te fuiste tenía mucho que dar todavía noooooooo,Noooooooo jota noooooooooo por qué hermano te fuiste tenía mucho que dar todavía noooooooo
El mundo del fútbol está totalmente triste de la partida de un gran jugador profesional,El mundo del fútbol está totalmente triste de la partida de un gran jugador profesional
"Tremendas palabras
ante una tragedia como está","Tremendas palabras
ante una tragedia como está"
Que injusta es la vida,Que injusta es la vida
Que injustas es la vida D E P,Que injustas es la vida D E P
Así es la vida esta echa cada destino,Así es la vida esta echa cada destino
QEPd,QEPd
que injusta es la vida,que injusta es la vida
"Sr mio que dolor pero no se si la vida oh que será cuando pasan estas calamidades. Duele el alma. Mi sentido pésame, a su esposa y familia.","Sr mio que dolor pero no se si la vida oh que será cuando pasan estas calamidades. Duele el alma. Mi sentido pésame, a su esposa y familia."
"Que DEP y Dios mío trae descanso, consuelo y paz para esta bella familia destrozada, pon tus manos sobre ellos amen","Que DEP y Dios mío trae descanso, consuelo y paz para esta bella familia destrozada, pon tus manos sobre ellos amen"
Epd,Epd
"EPD vuela alto ,Diogo siempre te recordaremos ,como.lo q eres un gran campeon","EPD vuela alto ,Diogo siempre te recordaremos ,como.lo q eres un gran campeon"
Q.E.P.D,Q.E.P.D
Aver aver como q murió jota,Aver aver como q murió jota
Que Dios consuele a sus familiares en especial a su esposa e hijitos que terrible tragedia no se puede creer tanto dolor para el mundo entero.Q.E.P.D ambos hermanos,Que Dios consuele a sus familiares en especial a su esposa e hijitos que terrible tragedia no se puede creer tanto dolor para el mundo entero.Q.E.P.D ambos hermanos
SEAN BENDITAS SUS MEMORIAS SIEMPRE Y SHALOM SHALOM para su familia,SEAN BENDITAS SUS MEMORIAS SIEMPRE Y SHALOM SHALOM para su familia
La vida nos da sorpresas triste realidad,La vida nos da sorpresas triste realidad
QEPD desde uruguay,QEPD desde uruguay
Cada día es una bendición RIP,Cada día es una bendición RIP
Terrible desgracia,Terrible desgracia
QEPD,QEPD
Com mi corrazon partido le pido a dios q descansaste en pas y dios allude a los ninos y a su espousal desde el Cielo,Com mi corrazon partido le pido a dios q descansaste en pas y dios allude a los ninos y a su espousal desde el Cielo
EPD,EPD
Pobre chaval,Pobre chaval
Paz en su tumba. Muy joven,Paz en su tumba. Muy joven
"No hay palabras para esto, somos momentos en la vida.","No hay palabras para esto, somos momentos en la vida."
Muy Duro para la Familia,Muy Duro para la Familia
Muy triste de Verdad,Muy triste de Verdad
EPD,EPD
Eso demuestra lo frágil que es la vida y que hay que disfrutar cada segundo de ella,Eso demuestra lo frágil que es la vida y que hay que disfrutar cada segundo de ella
Esto suena raro,Esto suena raro
Por dios que lastima,Por dios que lastima
"Qué noticia más triste y dolorosa . QEPD , dos hermanos que se fueron juntos en tan terrible tragedia ..Que DIOS les dé las Fuerzas que necesitan a toda sus familias.","Qué noticia más triste y dolorosa . QEPD , dos hermanos que se fueron juntos en tan terrible tragedia ..Que DIOS les dé las Fuerzas que necesitan a toda sus familias."
Será cierto esta nota,Será cierto esta nota
Un solo error. Un Lamborghini a toda velocidad. Que tristeza,Un solo error. Un Lamborghini a toda velocidad. Que tristeza
QEPD,QEPD
Seria la nave q tenia solo Dios save q Dios lo tenga en Santa Gloria amen,Seria la nave q tenia solo Dios save q Dios lo tenga en Santa Gloria amen
"Un tipo de noticia que uno nunca quisiera escuchar, condolencias para la familia y que descanse en paz Diogo Jota","Un tipo de noticia que uno nunca quisiera escuchar, condolencias para la familia y que descanse en paz Diogo Jota"
DEP,DEP
Buela alto se te quiere desde uruguay,Buela alto se te quiere desde uruguay
Qué Dios les de consuelo a la familia,Qué Dios les de consuelo a la familia
"Aquí no se puede decir que injusta la vida, no no la vida nos presenta muchos hechos con una familia en espera, que haces a las altas horas de la noche en un carro de alta velocidad si no más buscando la muerte descansa en paz","Aquí no se puede decir que injusta la vida, no no la vida nos presenta muchos hechos con una familia en espera, que haces a las altas horas de la noche en un carro de alta velocidad si no más buscando la muerte descansa en paz"
Descanse en paz,Descanse en paz
Que gacho la verdad duele bien gacho. QEPD,Que gacho la verdad duele bien gacho. QEPD
"Lamentable pérdida para su familiares y amigos,EPD.","Lamentable pérdida para su familiares y amigos,EPD."
